Caso,Tamaño,TiempoDP (µs),MemoriaTotal (bytes)
Repetidos,395,8606,627264
Casi Idéntico,395,9,196
Transposicion,395,5922,627264
Aleatorio,396,5817,630436
Palindromo,396,6519,630436
Repetidos,396,8767,630436
Casi Idéntico,396,7,196
Transposicion,396,6649,630436
Aleatorio,397,6676,633616
Palindromo,397,6528,633616
Repetidos,397,8823,633616
Casi Idéntico,397,6,196
Transposicion,397,5836,633616
Aleatorio,398,6221,636804
Palindromo,398,5763,636804
Repetidos,398,9001,636804
Casi Idéntico,398,5,196
Transposicion,398,5900,636804
Aleatorio,399,5914,640000
Palindromo,399,5881,640000
Repetidos,399,8864,640000
Casi Idéntico,399,6,196
Transposicion,399,5514,640000
Aleatorio,400,6119,643204
Palindromo,400,6057,643204
Repetidos,400,9778,643204
Casi Idéntico,400,5,196
Transposicion,400,5884,643204
Aleatorio,401,6508,646416
Palindromo,401,6188,646416
Repetidos,401,9459,646416
Casi Idéntico,401,11,196
Transposicion,401,5897,646416
Aleatorio,402,6403,649636
Palindromo,402,5996,649636
Repetidos,402,8709,649636
Casi Idéntico,402,5,196
Transposicion,402,5271,649636
Aleatorio,403,6346,652864
Palindromo,403,6013,652864
Repetidos,403,8945,652864
Casi Idéntico,403,8,196
Transposicion,403,5904,652864
Aleatorio,404,6355,656100
Palindromo,404,5777,656100
Repetidos,404,8636,656100
Casi Idéntico,404,6,196
Transposicion,404,6066,656100
Aleatorio,405,6356,659344
Palindromo,405,6172,659344
Repetidos,405,9467,659344
Casi Idéntico,405,6,196
Transposicion,405,5839,659344
Aleatorio,406,6444,662596
Palindromo,406,6099,662596
Repetidos,406,9345,662596
Casi Idéntico,406,4,196
Transposicion,406,6067,662596
Aleatorio,407,6966,665856
Palindromo,407,6256,665856
Repetidos,407,9738,665856
Casi Idéntico,407,7,196
Transposicion,407,5782,665856
Aleatorio,408,6971,669124
Palindromo,408,6345,669124
Repetidos,408,9683,669124
Casi Idéntico,408,6,196
Transposicion,408,5862,669124
Aleatorio,409,6681,672400
Palindromo,409,6090,672400
Repetidos,409,10278,672400
Casi Idéntico,409,7,196
Transposicion,409,6122,672400
Aleatorio,410,6175,675684
Palindromo,410,6377,675684
Repetidos,410,9161,675684
Casi Idéntico,410,5,196
Transposicion,410,6510,675684
Aleatorio,411,6256,678976
Palindromo,411,6422,678976
Repetidos,411,9116,678976
Casi Idéntico,411,19,196
Transposicion,411,6767,678976
Aleatorio,412,6402,682276
Palindromo,412,6692,682276
Repetidos,412,10395,682276
Casi Idéntico,412,6,196
Transposicion,412,5942,682276
Aleatorio,413,6190,685584
Palindromo,413,6435,685584
Repetidos,413,9506,685584
Casi Idéntico,413,5,196
Transposicion,413,6141,685584
Aleatorio,414,6379,688900
Palindromo,414,6618,688900
Repetidos,414,9884,688900
Casi Idéntico,414,6,196
Transposicion,414,5771,688900
Aleatorio,415,6499,692224
Palindromo,415,6450,692224
Repetidos,415,9798,692224
Casi Idéntico,415,7,196
Transposicion,415,6150,692224
Aleatorio,416,6808,695556
Palindromo,416,7126,695556
Repetidos,416,9083,695556
Casi Idéntico,416,6,196
Transposicion,416,6665,695556
Aleatorio,417,7753,698896
Palindromo,417,7761,698896
Repetidos,417,9833,698896
Casi Idéntico,417,7,196
Transposicion,417,6226,698896
Aleatorio,418,6564,702244
Palindromo,418,7311,702244
Repetidos,418,10272,702244
Casi Idéntico,418,4,196
Transposicion,418,6505,702244
Aleatorio,419,6971,705600
Palindromo,419,6629,705600
Repetidos,419,10182,705600
Casi Idéntico,419,5,196
Transposicion,419,6423,705600
Aleatorio,420,7131,708964
Palindromo,420,6741,708964
Repetidos,420,10867,708964
Casi Idéntico,420,7,196
Transposicion,420,7089,708964
Aleatorio,421,6843,712336
Palindromo,421,6744,712336
Repetidos,421,9381,712336
Casi Idéntico,421,7,196
Transposicion,421,6846,712336
Aleatorio,422,6848,715716
Palindromo,422,7086,715716
Repetidos,422,9974,715716
Casi Idéntico,422,7,196
Transposicion,422,6563,715716
Aleatorio,423,7354,719104
Palindromo,423,6444,719104
Repetidos,423,10741,719104
Casi Idéntico,423,10,196
Transposicion,423,6818,719104
Aleatorio,424,6677,722500
Palindromo,424,6469,722500
Repetidos,424,10116,722500
Casi Idéntico,424,5,196
Transposicion,424,6684,722500
Aleatorio,425,6675,725904
Palindromo,425,7162,725904
Repetidos,425,10365,725904
Casi Idéntico,425,5,196
Transposicion,425,6907,725904
Aleatorio,426,6633,729316
Palindromo,426,7054,729316
Repetidos,426,10371,729316
Casi Idéntico,426,5,196
Transposicion,426,6842,729316
Aleatorio,427,8266,732736
Palindromo,427,6970,732736
Repetidos,427,10421,732736
Casi Idéntico,427,8,196
Transposicion,427,7122,732736
Aleatorio,428,6689,736164
Palindromo,428,7228,736164
Repetidos,428,9800,736164
Casi Idéntico,428,6,196
Transposicion,428,7220,736164
Aleatorio,429,6949,739600
Palindromo,429,7218,739600
Repetidos,429,10901,739600
Casi Idéntico,429,8,196
Transposicion,429,7073,739600
Aleatorio,430,7652,743044
Palindromo,430,6711,743044
Repetidos,430,10929,743044
Casi Idéntico,430,7,196
Transposicion,430,6814,743044
Aleatorio,431,6953,746496
Palindromo,431,7089,746496
Repetidos,431,10199,746496
Casi Idéntico,431,11,196
Transposicion,431,6966,746496
Aleatorio,432,6734,749956
Palindromo,432,7304,749956
Repetidos,432,10205,749956
Casi Idéntico,432,4,196
Transposicion,432,6733,749956
Aleatorio,433,6557,753424
Palindromo,433,6929,753424
Repetidos,433,11285,753424
Casi Idéntico,433,7,196
Transposicion,433,6717,753424
Aleatorio,434,7623,756900
Palindromo,434,7015,756900
Repetidos,434,10770,756900
Casi Idéntico,434,6,196
Transposicion,434,7314,756900
Aleatorio,435,7033,760384
Palindromo,435,7062,760384
Repetidos,435,10813,760384
Casi Idéntico,435,7,196
Transposicion,435,6534,760384
Aleatorio,436,7078,763876
Palindromo,436,7356,763876
Repetidos,436,10862,763876
Casi Idéntico,436,5,196
Transposicion,436,6695,763876
Aleatorio,437,6812,767376
Palindromo,437,6516,767376
Repetidos,437,10753,767376
Casi Idéntico,437,6,196
Transposicion,437,7189,767376
Aleatorio,438,7291,770884
Palindromo,438,7696,770884
Repetidos,438,11144,770884
Casi Idéntico,438,5,196
Transposicion,438,6894,770884
Aleatorio,439,8076,774400
Palindromo,439,6931,774400
Repetidos,439,11130,774400
Casi Idéntico,439,9,196
Transposicion,439,7238,774400
Aleatorio,440,7579,777924
Palindromo,440,7246,777924
Repetidos,440,10194,777924
Casi Idéntico,440,6,196
Transposicion,440,7780,777924
Aleatorio,441,7256,781456
Palindromo,441,7281,781456
Repetidos,441,11394,781456
Casi Idéntico,441,8,196
Transposicion,441,7420,781456
Aleatorio,442,7713,784996
Palindromo,442,7467,784996
Repetidos,442,11099,784996
Casi Idéntico,442,5,196
Transposicion,442,7220,784996
Aleatorio,443,7203,788544
Palindromo,443,7770,788544
Repetidos,443,10324,788544
Casi Idéntico,443,6,196
Transposicion,443,7563,788544
Aleatorio,444,7730,792100
Palindromo,444,7703,792100
Repetidos,444,11126,792100
Casi Idéntico,444,5,196
Transposicion,444,7438,792100
Aleatorio,445,7064,795664
Palindromo,445,7521,795664
Repetidos,445,11163,795664
Casi Idéntico,445,13,196
Transposicion,445,7071,795664
Aleatorio,446,7779,799236
Palindromo,446,7163,799236
Repetidos,446,11646,799236
Casi Idéntico,446,6,196
Transposicion,446,7399,799236
Aleatorio,447,7092,802816
Palindromo,447,7644,802816
Repetidos,447,10511,802816
Casi Idéntico,447,7,196
Transposicion,447,6854,802816
Aleatorio,448,8120,806404
Palindromo,448,7355,806404
Repetidos,448,11348,806404
Casi Idéntico,448,5,196
Transposicion,448,7389,806404
Aleatorio,449,7436,810000
Palindromo,449,7964,810000
Repetidos,449,12903,810000
Casi Idéntico,449,6,196
Transposicion,449,7658,810000
Aleatorio,450,8185,813604
Palindromo,450,8023,813604
Repetidos,450,11114,813604
Casi Idéntico,450,8,196
Transposicion,450,7556,813604
Aleatorio,451,7461,817216
Palindromo,451,7908,817216
Repetidos,451,10865,817216
Casi Idéntico,451,11,196
Transposicion,451,7257,817216
Aleatorio,452,7899,820836
Palindromo,452,7671,820836
Repetidos,452,10606,820836
Casi Idéntico,452,6,196
Transposicion,452,7774,820836
Aleatorio,453,7618,824464
Palindromo,453,8081,824464
Repetidos,453,10309,824464
Casi Idéntico,453,6,196
Transposicion,453,7258,824464
Aleatorio,454,7847,828100
Palindromo,454,7729,828100
Repetidos,454,11177,828100
Casi Idéntico,454,5,196
Transposicion,454,7340,828100
Aleatorio,455,8026,831744
Palindromo,455,8142,831744
Repetidos,455,10707,831744
Casi Idéntico,455,6,196
Transposicion,455,7184,831744
Aleatorio,456,8145,835396
Palindromo,456,8007,835396
Repetidos,456,11721,835396
Casi Idéntico,456,7,196
Transposicion,456,7919,835396
Aleatorio,457,7885,839056
Palindromo,457,8564,839056
Repetidos,457,11480,839056
Casi Idéntico,457,6,196
Transposicion,457,7227,839056
Aleatorio,458,7928,842724
Palindromo,458,7498,842724
Repetidos,458,11677,842724
Casi Idéntico,458,5,196
Transposicion,458,7937,842724
Aleatorio,459,7951,846400
Palindromo,459,8202,846400
Repetidos,459,11807,846400
Casi Idéntico,459,6,196
Transposicion,459,7511,846400
Aleatorio,460,8231,850084
Palindromo,460,7660,850084
Repetidos,460,11908,850084
Casi Idéntico,460,4,196
Transposicion,460,7857,850084
Aleatorio,461,8642,853776
Palindromo,461,8600,853776
Repetidos,461,12402,853776
Casi Idéntico,461,8,196
Transposicion,461,8720,853776
Aleatorio,462,8682,857476
Palindromo,462,8596,857476
Repetidos,462,11900,857476
Casi Idéntico,462,5,196
Transposicion,462,7294,857476
Aleatorio,463,8132,861184
Palindromo,463,7832,861184
Repetidos,463,11767,861184
Casi Idéntico,463,8,196
Transposicion,463,8235,861184
Aleatorio,464,7843,864900
Palindromo,464,8143,864900
Repetidos,464,12163,864900
Casi Idéntico,464,5,196
Transposicion,464,7278,864900
Aleatorio,465,7734,868624
Palindromo,465,7399,868624
Repetidos,465,11975,868624
Casi Idéntico,465,6,196
Transposicion,465,7689,868624
Aleatorio,466,7417,872356
Palindromo,466,8183,872356
Repetidos,466,12236,872356
Casi Idéntico,466,7,196
Transposicion,466,7866,872356
Aleatorio,467,8276,876096
Palindromo,467,8450,876096
Repetidos,467,12298,876096
Casi Idéntico,467,16,196
Transposicion,467,7564,876096
Aleatorio,468,8649,879844
Palindromo,468,8303,879844
Repetidos,468,11402,879844
Casi Idéntico,468,6,196
Transposicion,468,7475,879844
Aleatorio,469,8146,883600
Palindromo,469,7959,883600
Repetidos,469,11798,883600
Casi Idéntico,469,7,196
Transposicion,469,8287,883600
Aleatorio,470,7787,887364
Palindromo,470,8199,887364
Repetidos,470,12234,887364
Casi Idéntico,470,4,196
Transposicion,470,7935,887364
Aleatorio,471,8429,891136
Palindromo,471,7423,891136
Repetidos,471,12186,891136
Casi Idéntico,471,8,196
Transposicion,471,8500,891136
Aleatorio,472,8862,894916
Palindromo,472,8699,894916
Repetidos,472,11959,894916
Casi Idéntico,472,5,196
Transposicion,472,8756,894916
Aleatorio,473,7899,898704
Palindromo,473,8635,898704
Repetidos,473,12878,898704
Casi Idéntico,473,7,196
Transposicion,473,9667,898704
Aleatorio,474,8435,902500
Palindromo,474,8188,902500
Repetidos,474,12806,902500
Casi Idéntico,474,6,196
Transposicion,474,7673,902500
Aleatorio,475,8348,906304
Palindromo,475,8083,906304
Repetidos,475,11673,906304
Casi Idéntico,475,10,196
Transposicion,475,7742,906304
Aleatorio,476,8455,910116
Palindromo,476,8016,910116
Repetidos,476,11984,910116
Casi Idéntico,476,4,196
Transposicion,476,8605,910116
Aleatorio,477,8301,913936
Palindromo,477,8986,913936
Repetidos,477,13024,913936
Casi Idéntico,477,7,196
Transposicion,477,8286,913936
Aleatorio,478,8178,917764
Palindromo,478,8645,917764
Repetidos,478,12554,917764
Casi Idéntico,478,5,196
Transposicion,478,7698,917764
Aleatorio,479,8639,921600
Palindromo,479,8850,921600
Repetidos,479,11942,921600
Casi Idéntico,479,9,196
Transposicion,479,7630,921600
Aleatorio,480,8576,925444
Palindromo,480,8439,925444
Repetidos,480,12177,925444
Casi Idéntico,480,5,196
Transposicion,480,8417,925444
Aleatorio,481,8624,929296
Palindromo,481,8454,929296
Repetidos,481,12823,929296
Casi Idéntico,481,5,196
Transposicion,481,8762,929296
Aleatorio,482,8482,933156
Palindromo,482,8915,933156
Repetidos,482,12405,933156
Casi Idéntico,482,6,196
Transposicion,482,7840,933156
Aleatorio,483,8513,937024
Palindromo,483,8811,937024
Repetidos,483,12871,937024
Casi Idéntico,483,8,196
Transposicion,483,8256,937024
Aleatorio,484,8855,940900
Palindromo,484,8949,940900
Repetidos,484,12442,940900
Casi Idéntico,484,5,196
Transposicion,484,8151,940900
Aleatorio,485,9073,944784
Palindromo,485,8014,944784
Repetidos,485,11716,944784
Casi Idéntico,485,6,196
Transposicion,485,8452,944784
Aleatorio,486,8454,948676
Palindromo,486,8752,948676
Repetidos,486,13709,948676
Casi Idéntico,486,5,196
Transposicion,486,9085,948676
Aleatorio,487,8141,952576
Palindromo,487,8842,952576
Repetidos,487,13410,952576
Casi Idéntico,487,8,196
Transposicion,487,11164,952576
Aleatorio,488,9167,956484
Palindromo,488,9363,956484
Repetidos,488,13442,956484
Casi Idéntico,488,7,196
Transposicion,488,8546,956484
Aleatorio,489,9081,960400
Palindromo,489,8357,960400
Repetidos,489,12582,960400
Casi Idéntico,489,7,196
Transposicion,489,8272,960400
Aleatorio,490,8735,964324
Palindromo,490,8486,964324
Repetidos,490,12846,964324
Casi Idéntico,490,4,196
Transposicion,490,8789,964324
Aleatorio,491,8923,968256
Palindromo,491,9286,968256
Repetidos,491,14571,968256
Casi Idéntico,491,8,196
Transposicion,491,8759,968256
Aleatorio,492,8901,972196
Palindromo,492,9536,972196
Repetidos,492,14355,972196
Casi Idéntico,492,6,196
Transposicion,492,9170,972196
Aleatorio,493,8709,976144
Palindromo,493,8740,976144
Repetidos,493,12753,976144
Casi Idéntico,493,7,196
Transposicion,493,8596,976144
Aleatorio,494,8877,980100
Palindromo,494,9035,980100
Repetidos,494,12783,980100
Casi Idéntico,494,5,196
Transposicion,494,8105,980100
Aleatorio,495,8967,984064
Palindromo,495,8538,984064
Repetidos,495,12016,984064
Casi Idéntico,495,6,196
Transposicion,495,8384,984064
Aleatorio,496,9607,988036
Palindromo,496,8719,988036
Repetidos,496,14634,988036
Casi Idéntico,496,6,196
Transposicion,496,8757,988036
Aleatorio,497,9116,992016
Palindromo,497,8781,992016
Repetidos,497,13768,992016
Casi Idéntico,497,14,196
Transposicion,497,8865,992016
Aleatorio,498,8834,996004
Palindromo,498,9337,996004
Repetidos,498,12953,996004
Casi Idéntico,498,7,196
Transposicion,498,9034,996004
Aleatorio,499,9041,1000000
Palindromo,499,9329,1000000
Repetidos,499,14092,1000000
Casi Idéntico,499,7,196
Transposicion,499,8354,1000000
Aleatorio,500,9065,1004004
Palindromo,500,9505,1004004
Repetidos,500,13728,1004004
Casi Idéntico,500,4,196
Transposicion,500,8429,1004004
Aleatorio,501,9361,1008016
Palindromo,501,9504,1008016
Repetidos,501,13783,1008016
Casi Idéntico,501,7,196
Transposicion,501,8776,1008016
Aleatorio,502,9882,1012036
Palindromo,502,9947,1012036
Repetidos,502,13310,1012036
Casi Idéntico,502,8,196
Transposicion,502,8543,1012036
Aleatorio,503,9450,1016064
Palindromo,503,9547,1016064
Repetidos,503,14479,1016064
Casi Idéntico,503,15,196
Transposicion,503,8857,1016064
Aleatorio,504,9364,1020100
Palindromo,504,9478,1020100
Repetidos,504,13778,1020100
Casi Idéntico,504,4,196
Transposicion,504,8573,1020100
Aleatorio,505,9565,1024144
Palindromo,505,9390,1024144
Repetidos,505,14009,1024144
Casi Idéntico,505,9,196
Transposicion,505,8929,1024144
Aleatorio,506,9513,1028196
Palindromo,506,9911,1028196
Repetidos,506,13856,1028196
Casi Idéntico,506,5,196
Transposicion,506,8923,1028196
Aleatorio,507,9477,1032256
Palindromo,507,9654,1032256
Repetidos,507,14100,1032256
Casi Idéntico,507,7,196
Transposicion,507,8693,1032256
Aleatorio,508,9689,1036324
Palindromo,508,10175,1036324
Repetidos,508,14276,1036324
Casi Idéntico,508,6,196
Transposicion,508,9203,1036324
Aleatorio,509,9418,1040400
Palindromo,509,10047,1040400
Repetidos,509,14552,1040400
Casi Idéntico,509,6,196
Transposicion,509,9701,1040400
Aleatorio,510,9687,1044484
Palindromo,510,9704,1044484
Repetidos,510,14519,1044484
Casi Idéntico,510,5,196
Transposicion,510,9690,1044484
Aleatorio,511,10118,1048576
Palindromo,511,9552,1048576
Repetidos,511,14722,1048576
Casi Idéntico,511,8,196
Transposicion,511,9327,1048576
Aleatorio,512,10000,1052676
Palindromo,512,10293,1052676
Repetidos,512,15159,1052676
Casi Idéntico,512,6,196
Transposicion,512,10002,1052676
Aleatorio,513,9857,1056784
Palindromo,513,10470,1056784
Repetidos,513,15012,1056784
Casi Idéntico,513,6,196
Transposicion,513,10016,1056784
Aleatorio,514,10774,1060900
Palindromo,514,10421,1060900
Repetidos,514,15369,1060900
Casi Idéntico,514,13,196
Transposicion,514,10156,1060900
Aleatorio,515,10768,1065024
Palindromo,515,10500,1065024
Repetidos,515,15380,1065024
Casi Idéntico,515,10,196
Transposicion,515,9934,1065024
Aleatorio,516,10866,1069156
Palindromo,516,11046,1069156
Repetidos,516,14695,1069156
Casi Idéntico,516,6,196
Transposicion,516,10189,1069156
Aleatorio,517,10105,1073296
Palindromo,517,10602,1073296
Repetidos,517,15455,1073296
Casi Idéntico,517,6,196
Transposicion,517,10175,1073296
Aleatorio,518,10657,1077444
Palindromo,518,10163,1077444
Repetidos,518,15335,1077444
Casi Idéntico,518,4,196
Transposicion,518,9886,1077444
Aleatorio,519,10730,1081600
Palindromo,519,10389,1081600
Repetidos,519,14805,1081600
Casi Idéntico,519,7,196
Transposicion,519,9187,1081600
Aleatorio,520,10271,1085764
Palindromo,520,10263,1085764
Repetidos,520,15198,1085764
Casi Idéntico,520,5,196
Transposicion,520,9142,1085764
Aleatorio,521,9455,1089936
Palindromo,521,9920,1089936
Repetidos,521,14687,1089936
Casi Idéntico,521,18,196
Transposicion,521,9832,1089936
Aleatorio,522,9877,1094116
Palindromo,522,9964,1094116
Repetidos,522,14428,1094116
Casi Idéntico,522,5,196
Transposicion,522,9625,1094116
Aleatorio,523,9859,1098304
Palindromo,523,9746,1098304
Repetidos,523,16136,1098304
Casi Idéntico,523,15,196
Transposicion,523,10011,1098304
Aleatorio,524,9991,1102500
Palindromo,524,10310,1102500
Repetidos,524,14870,1102500
Casi Idéntico,524,6,196
Transposicion,524,9930,1102500
Aleatorio,525,10252,1106704
Palindromo,525,9833,1106704
Repetidos,525,14806,1106704
Casi Idéntico,525,9,196
Transposicion,525,9680,1106704
Aleatorio,526,10693,1110916
Palindromo,526,10245,1110916
Repetidos,526,14259,1110916
Casi Idéntico,526,5,196
Transposicion,526,9355,1110916
Aleatorio,527,10661,1115136
Palindromo,527,10291,1115136
Repetidos,527,14852,1115136
Casi Idéntico,527,13,196
Transposicion,527,10247,1115136
Aleatorio,528,10667,1119364
Palindromo,528,10966,1119364
Repetidos,528,14921,1119364
Casi Idéntico,528,6,196
Transposicion,528,9948,1119364
Aleatorio,529,10986,1123600
Palindromo,529,9938,1123600
Repetidos,529,15188,1123600
Casi Idéntico,529,8,196
Transposicion,529,9721,1123600
Aleatorio,530,10124,1127844
Palindromo,530,10462,1127844
Repetidos,530,15007,1127844
Casi Idéntico,530,4,196
Transposicion,530,9952,1127844
Aleatorio,531,9831,1132096
Palindromo,531,10004,1132096
Repetidos,531,14233,1132096
Casi Idéntico,531,6,196
Transposicion,531,10401,1132096
Aleatorio,532,11056,1136356
Palindromo,532,11667,1136356
Repetidos,532,15572,1136356
Casi Idéntico,532,6,196
Transposicion,532,9902,1136356
Aleatorio,533,10804,1140624
Palindromo,533,10162,1140624
Repetidos,533,14570,1140624
Casi Idéntico,533,16,196
Transposicion,533,9710,1140624
Aleatorio,534,10700,1144900
Palindromo,534,10553,1144900
Repetidos,534,15557,1144900
Casi Idéntico,534,5,196
Transposicion,534,9850,1144900
Aleatorio,535,10996,1149184
Palindromo,535,10193,1149184
Repetidos,535,14482,1149184
Casi Idéntico,535,6,196
Transposicion,535,9712,1149184
Aleatorio,536,11460,1153476
Palindromo,536,10592,1153476
Repetidos,536,15860,1153476
Casi Idéntico,536,6,196
Transposicion,536,10511,1153476
Aleatorio,537,10032,1157776
Palindromo,537,10604,1157776
Repetidos,537,15912,1157776
Casi Idéntico,537,16,196
Transposicion,537,10270,1157776
Aleatorio,538,10838,1162084
Palindromo,538,10659,1162084
Repetidos,538,15417,1162084
Casi Idéntico,538,5,196
Transposicion,538,10026,1162084
Aleatorio,539,10758,1166400
Palindromo,539,11063,1166400
Repetidos,539,15166,1166400
Casi Idéntico,539,6,196
Transposicion,539,10577,1166400
Aleatorio,540,10903,1170724
Palindromo,540,10891,1170724
Repetidos,540,15926,1170724
Casi Idéntico,540,6,196
Transposicion,540,10051,1170724
Aleatorio,541,10544,1175056
Palindromo,541,10525,1175056
Repetidos,541,15074,1175056
Casi Idéntico,541,9,196
Transposicion,541,10092,1175056
Aleatorio,542,10676,1179396
Palindromo,542,10987,1179396
Repetidos,542,15642,1179396
Casi Idéntico,542,5,196
Transposicion,542,10363,1179396
Aleatorio,543,10069,1183744
Palindromo,543,10897,1183744
Repetidos,543,16099,1183744
Casi Idéntico,543,6,196
Transposicion,543,11192,1183744
Aleatorio,544,11979,1188100
Palindromo,544,10757,1188100
Repetidos,544,16157,1188100
Casi Idéntico,544,9,196
Transposicion,544,10393,1188100
Aleatorio,545,10363,1192464
Palindromo,545,10253,1192464
Repetidos,545,20107,1192464
Casi Idéntico,545,7,196
Transposicion,545,10616,1192464
Aleatorio,546,10192,1196836
Palindromo,546,11074,1196836
Repetidos,546,16622,1196836
Casi Idéntico,546,5,196
Transposicion,546,10571,1196836
Aleatorio,547,11004,1201216
Palindromo,547,11064,1201216
Repetidos,547,17367,1201216
Casi Idéntico,547,7,196
Transposicion,547,11766,1201216
Aleatorio,548,12288,1205604
Palindromo,548,12051,1205604
Repetidos,548,18867,1205604
Casi Idéntico,548,13,196
Transposicion,548,10503,1205604
Aleatorio,549,10580,1210000
Palindromo,549,11117,1210000
Repetidos,549,16410,1210000
Casi Idéntico,549,12,196
Transposicion,549,10441,1210000
Aleatorio,550,11280,1214404
Palindromo,550,11283,1214404
Repetidos,550,17059,1214404
Casi Idéntico,550,5,196
Transposicion,550,10358,1214404
Aleatorio,551,11572,1218816
Palindromo,551,11763,1218816
Repetidos,551,17069,1218816
Casi Idéntico,551,9,196
Transposicion,551,10922,1218816
Aleatorio,552,11464,1223236
Palindromo,552,11779,1223236
Repetidos,552,17281,1223236
Casi Idéntico,552,6,196
Transposicion,552,11240,1223236
Aleatorio,553,10471,1227664
Palindromo,553,10667,1227664
Repetidos,553,20803,1227664
Casi Idéntico,553,15,196
Transposicion,553,10821,1227664
Aleatorio,554,10703,1232100
Palindromo,554,11232,1232100
Repetidos,554,16265,1232100
Casi Idéntico,554,5,196
Transposicion,554,11034,1232100
Aleatorio,555,11502,1236544
Palindromo,555,12123,1236544
Repetidos,555,17524,1236544
Casi Idéntico,555,8,196
Transposicion,555,10288,1236544
Aleatorio,556,11869,1240996
Palindromo,556,11789,1240996
Repetidos,556,17118,1240996
Casi Idéntico,556,5,196
Transposicion,556,11177,1240996
Aleatorio,557,11547,1245456
Palindromo,557,10417,1245456
Repetidos,557,16845,1245456
Casi Idéntico,557,7,196
Transposicion,557,11371,1245456
Aleatorio,558,11460,1249924
Palindromo,558,11652,1249924
Repetidos,558,16105,1249924
Casi Idéntico,558,5,196
Transposicion,558,10934,1249924
Aleatorio,559,12053,1254400
Palindromo,559,11966,1254400
Repetidos,559,17135,1254400
Casi Idéntico,559,8,196
Transposicion,559,11777,1254400
Aleatorio,560,11993,1258884
Palindromo,560,11783,1258884
Repetidos,560,17755,1258884
Casi Idéntico,560,6,196
Transposicion,560,11404,1258884
Aleatorio,561,11813,1263376
Palindromo,561,11948,1263376
Repetidos,561,17060,1263376
Casi Idéntico,561,7,196
Transposicion,561,11418,1263376
Aleatorio,562,12385,1267876
Palindromo,562,11761,1267876
Repetidos,562,17994,1267876
Casi Idéntico,562,6,196
Transposicion,562,12617,1267876
Aleatorio,563,12435,1272384
Palindromo,563,12082,1272384
Repetidos,563,18490,1272384
Casi Idéntico,563,9,196
Transposicion,563,11835,1272384
Aleatorio,564,12846,1276900
Palindromo,564,12461,1276900
Repetidos,564,19998,1276900
Casi Idéntico,564,5,196
Transposicion,564,12167,1276900
Aleatorio,565,12158,1281424
Palindromo,565,12346,1281424
Repetidos,565,16905,1281424
Casi Idéntico,565,6,196
Transposicion,565,12036,1281424
Aleatorio,566,12369,1285956
Palindromo,566,11497,1285956
Repetidos,566,17707,1285956
Casi Idéntico,566,5,196
Transposicion,566,12224,1285956
Aleatorio,567,13599,1290496
Palindromo,567,12525,1290496
Repetidos,567,17129,1290496
Casi Idéntico,567,18,196
Transposicion,567,11862,1290496
Aleatorio,568,14499,1295044
Palindromo,568,12475,1295044
Repetidos,568,18282,1295044
Casi Idéntico,568,5,196
Transposicion,568,11580,1295044
Aleatorio,569,12775,1299600
Palindromo,569,14758,1299600
Repetidos,569,18471,1299600
Casi Idéntico,569,7,196
Transposicion,569,12073,1299600
Aleatorio,570,13673,1304164
Palindromo,570,12749,1304164
Repetidos,570,18973,1304164
Casi Idéntico,570,6,196
Transposicion,570,12135,1304164
Aleatorio,571,14172,1308736
Palindromo,571,13382,1308736
Repetidos,571,17666,1308736
Casi Idéntico,571,9,196
Transposicion,571,12116,1308736
Aleatorio,572,12480,1313316
Palindromo,572,12828,1313316
Repetidos,572,18933,1313316
Casi Idéntico,572,5,196
Transposicion,572,11789,1313316
Aleatorio,573,13119,1317904
Palindromo,573,13226,1317904
Repetidos,573,17923,1317904
Casi Idéntico,573,10,196
Transposicion,573,11851,1317904
Aleatorio,574,12240,1322500
Palindromo,574,13249,1322500
Repetidos,574,20455,1322500
Casi Idéntico,574,5,196
Transposicion,574,13760,1322500
Aleatorio,575,13611,1327104
Palindromo,575,12988,1327104
Repetidos,575,19219,1327104
Casi Idéntico,575,7,196
Transposicion,575,12342,1327104
Aleatorio,576,13420,1331716
Palindromo,576,13125,1331716
Repetidos,576,20507,1331716
Casi Idéntico,576,6,196
Transposicion,576,13244,1331716
Aleatorio,577,13804,1336336
Palindromo,577,15009,1336336
Repetidos,577,20431,1336336
Casi Idéntico,577,10,196
Transposicion,577,12339,1336336
Aleatorio,578,13107,1340964
Palindromo,578,13596,1340964
Repetidos,578,18865,1340964
Casi Idéntico,578,6,196
Transposicion,578,12685,1340964
Aleatorio,579,13256,1345600
Palindromo,579,13519,1345600
Repetidos,579,20080,1345600
Casi Idéntico,579,8,196
Transposicion,579,12958,1345600
Aleatorio,580,13610,1350244
Palindromo,580,13428,1350244
Repetidos,580,18977,1350244
Casi Idéntico,580,6,196
Transposicion,580,12781,1350244
Aleatorio,581,13911,1354896
Palindromo,581,12606,1354896
Repetidos,581,20505,1354896
Casi Idéntico,581,15,196
Transposicion,581,13395,1354896
Aleatorio,582,13335,1359556
Palindromo,582,13843,1359556
Repetidos,582,20006,1359556
Casi Idéntico,582,5,196
Transposicion,582,12691,1359556
Aleatorio,583,14381,1364224
Palindromo,583,13060,1364224
Repetidos,583,19878,1364224
Casi Idéntico,583,8,196
Transposicion,583,12696,1364224
Aleatorio,584,13323,1368900
Palindromo,584,13369,1368900
Repetidos,584,21264,1368900
