Caso,Tamaño,TiempoDP (µs),MemoriaTotal (bytes)
Aleatorio,77,247,24336
Palindromo,77,254,24336
Repetidos,77,353,24336
Casi Idéntico,77,3,196
Transposicion,77,234,24336
Aleatorio,78,280,24964
Palindromo,78,272,24964
Repetidos,78,391,24964
Casi Idéntico,78,3,196
Transposicion,78,252,24964
Aleatorio,79,266,25600
Palindromo,79,265,25600
Repetidos,79,379,25600
Casi Idéntico,79,4,196
Transposicion,79,265,25600
Aleatorio,80,271,26244
Palindromo,80,271,26244
Repetidos,80,383,26244
Casi Idéntico,80,5,196
Transposicion,80,262,26244
Aleatorio,81,279,26896
Palindromo,81,352,26896
Repetidos,81,496,26896
Casi Idéntico,81,8,196
Transposicion,81,273,26896
Aleatorio,82,289,27556
Palindromo,82,276,27556
Repetidos,82,408,27556
Casi Idéntico,82,5,196
Transposicion,82,257,27556
Aleatorio,83,297,28224
Palindromo,83,276,28224
Repetidos,83,447,28224
Casi Idéntico,83,4,196
Transposicion,83,285,28224
Aleatorio,84,297,28900
Palindromo,84,308,28900
Repetidos,84,462,28900
Casi Idéntico,84,5,196
Transposicion,84,318,28900
Aleatorio,85,303,29584
Palindromo,85,322,29584
Repetidos,85,437,29584
Casi Idéntico,85,4,196
Transposicion,85,290,29584
Aleatorio,86,315,30276
Palindromo,86,328,30276
Repetidos,86,458,30276
Casi Idéntico,86,4,196
Transposicion,86,292,30276
Aleatorio,87,326,30976
Palindromo,87,330,30976
Repetidos,87,479,30976
Casi Idéntico,87,4,196
Transposicion,87,499,30976
Aleatorio,88,391,31684
Palindromo,88,333,31684
Repetidos,88,462,31684
Casi Idéntico,88,6,196
Transposicion,88,334,31684
Aleatorio,89,337,32400
Palindromo,89,347,32400
Repetidos,89,466,32400
Casi Idéntico,89,5,196
Transposicion,89,326,32400
Aleatorio,90,351,33124
Palindromo,90,355,33124
Repetidos,90,562,33124
Casi Idéntico,90,3,196
Transposicion,90,342,33124
Aleatorio,91,374,33856
Palindromo,91,367,33856
Repetidos,91,512,33856
Casi Idéntico,91,4,196
Transposicion,91,328,33856
Aleatorio,92,352,34596
Palindromo,92,351,34596
Repetidos,92,522,34596
Casi Idéntico,92,4,196
Transposicion,92,357,34596
Aleatorio,93,369,35344
Palindromo,93,397,35344
Repetidos,93,517,35344
Casi Idéntico,93,4,196
Transposicion,93,327,35344
Aleatorio,94,354,36100
Palindromo,94,363,36100
Repetidos,94,514,36100
Casi Idéntico,94,3,196
Transposicion,94,346,36100
Aleatorio,95,360,36864
Palindromo,95,359,36864
Repetidos,95,549,36864
Casi Idéntico,95,3,196
Transposicion,95,338,36864
Aleatorio,96,365,37636
Palindromo,96,363,37636
Repetidos,96,558,37636
Casi Idéntico,96,8,196
Transposicion,96,395,37636
Aleatorio,97,426,38416
Palindromo,97,410,38416
Repetidos,97,602,38416
Casi Idéntico,97,3,196
Transposicion,97,382,38416
Aleatorio,98,407,39204
Palindromo,98,452,39204
Repetidos,98,601,39204
Casi Idéntico,98,6,196
Transposicion,98,399,39204
Aleatorio,99,410,40000
Palindromo,99,413,40000
Repetidos,99,837,40000
Casi Idéntico,99,4,196
Transposicion,99,364,40000
Aleatorio,100,401,40804
Palindromo,100,394,40804
Repetidos,100,576,40804
Casi Idéntico,100,3,196
Transposicion,100,381,40804
Aleatorio,101,390,41616
Palindromo,101,409,41616
Repetidos,101,621,41616
Casi Idéntico,101,4,196
Transposicion,101,386,41616
Aleatorio,102,418,42436
Palindromo,102,418,42436
Repetidos,102,601,42436
Casi Idéntico,102,3,196
Transposicion,102,405,42436
Aleatorio,103,420,43264
Palindromo,103,423,43264
Repetidos,103,626,43264
Casi Idéntico,103,3,196
Transposicion,103,414,43264
Aleatorio,104,435,44100
Palindromo,104,431,44100
Repetidos,104,657,44100
Casi Idéntico,104,3,196
Transposicion,104,400,44100
Aleatorio,105,438,44944
Palindromo,105,428,44944
Repetidos,105,616,44944
Casi Idéntico,105,3,196
Transposicion,105,455,44944
Aleatorio,106,453,45796
Palindromo,106,443,45796
Repetidos,106,653,45796
Casi Idéntico,106,3,196
Transposicion,106,412,45796
Aleatorio,107,458,46656
Palindromo,107,457,46656
Repetidos,107,684,46656
Casi Idéntico,107,3,196
Transposicion,107,453,46656
Aleatorio,108,453,47524
Palindromo,108,478,47524
Repetidos,108,655,47524
Casi Idéntico,108,3,196
Transposicion,108,452,47524
Aleatorio,109,522,48400
Palindromo,109,463,48400
Repetidos,109,685,48400
Casi Idéntico,109,5,196
Transposicion,109,444,48400
Aleatorio,110,529,49284
Palindromo,110,476,49284
Repetidos,110,698,49284
Casi Idéntico,110,3,196
Transposicion,110,446,49284
Aleatorio,111,482,50176
Palindromo,111,492,50176
Repetidos,111,713,50176
Casi Idéntico,111,3,196
Transposicion,111,469,50176
Aleatorio,112,481,51076
Palindromo,112,493,51076
Repetidos,112,718,51076
Casi Idéntico,112,3,196
Transposicion,112,663,51076
Aleatorio,113,515,51984
Palindromo,113,494,51984
Repetidos,113,707,51984
Casi Idéntico,113,3,196
Transposicion,113,480,51984
Aleatorio,114,500,52900
Palindromo,114,520,52900
Repetidos,114,1023,52900
Casi Idéntico,114,5,196
Transposicion,114,554,52900
Aleatorio,115,523,53824
Palindromo,115,512,53824
Repetidos,115,776,53824
Casi Idéntico,115,3,196
Transposicion,115,533,53824
Aleatorio,116,516,54756
Palindromo,116,517,54756
Repetidos,116,746,54756
Casi Idéntico,116,3,196
Transposicion,116,517,54756
Aleatorio,117,541,55696
Palindromo,117,790,55696
Repetidos,117,827,55696
Casi Idéntico,117,4,196
Transposicion,117,553,55696
Aleatorio,118,555,56644
Palindromo,118,559,56644
Repetidos,118,804,56644
Casi Idéntico,118,3,196
Transposicion,118,523,56644
Aleatorio,119,598,57600
Palindromo,119,569,57600
Repetidos,119,821,57600
Casi Idéntico,119,3,196
Transposicion,119,540,57600
Aleatorio,120,753,58564
Palindromo,120,556,58564
Repetidos,120,830,58564
Casi Idéntico,120,7,196
Transposicion,120,580,58564
Aleatorio,121,570,59536
Palindromo,121,594,59536
Repetidos,121,860,59536
Casi Idéntico,121,6,196
Transposicion,121,553,59536
Aleatorio,122,601,60516
Palindromo,122,592,60516
Repetidos,122,1132,60516
Casi Idéntico,122,5,196
Transposicion,122,558,60516
Aleatorio,123,621,61504
Palindromo,123,627,61504
Repetidos,123,881,61504
Casi Idéntico,123,2,196
Transposicion,123,592,61504
Aleatorio,124,612,62500
Palindromo,124,624,62500
Repetidos,124,882,62500
Casi Idéntico,124,4,196
Transposicion,124,582,62500
Aleatorio,125,630,63504
Palindromo,125,634,63504
Repetidos,125,859,63504
Casi Idéntico,125,4,196
Transposicion,125,580,63504
Aleatorio,126,627,64516
Palindromo,126,627,64516
Repetidos,126,908,64516
Casi Idéntico,126,3,196
Transposicion,126,572,64516
Aleatorio,127,658,65536
Palindromo,127,688,65536
Repetidos,127,948,65536
Casi Idéntico,127,3,196
Transposicion,127,662,65536
Aleatorio,128,658,66564
Palindromo,128,707,66564
Repetidos,128,928,66564
Casi Idéntico,128,4,196
Transposicion,128,622,66564
Aleatorio,129,647,67600
Palindromo,129,653,67600
Repetidos,129,997,67600
Casi Idéntico,129,4,196
Transposicion,129,860,67600
Aleatorio,130,719,68644
Palindromo,130,677,68644
Repetidos,130,950,68644
Casi Idéntico,130,5,196
Transposicion,130,688,68644
Aleatorio,131,718,69696
Palindromo,131,674,69696
Repetidos,131,1038,69696
Casi Idéntico,131,4,196
Transposicion,131,697,69696
Aleatorio,132,725,70756
Palindromo,132,709,70756
Repetidos,132,1544,70756
Casi Idéntico,132,4,196
Transposicion,132,702,70756
Aleatorio,133,697,71824
Palindromo,133,707,71824
Repetidos,133,1053,71824
Casi Idéntico,133,4,196
Transposicion,133,689,71824
Aleatorio,134,712,72900
Palindromo,134,747,72900
Repetidos,134,1036,72900
Casi Idéntico,134,5,196
Transposicion,134,687,72900
Aleatorio,135,743,73984
Palindromo,135,734,73984
Repetidos,135,1073,73984
Casi Idéntico,135,3,196
Transposicion,135,673,73984
Aleatorio,136,719,75076
Palindromo,136,721,75076
Repetidos,136,1081,75076
Casi Idéntico,136,3,196
Transposicion,136,731,75076
Aleatorio,137,783,76176
Palindromo,137,749,76176
Repetidos,137,1106,76176
Casi Idéntico,137,4,196
Transposicion,137,705,76176
Aleatorio,138,766,77284
Palindromo,138,746,77284
Repetidos,138,1109,77284
Casi Idéntico,138,3,196
Transposicion,138,718,77284
Aleatorio,139,765,78400
Palindromo,139,777,78400
Repetidos,139,1235,78400
Casi Idéntico,139,3,196
Transposicion,139,748,78400
Aleatorio,140,779,79524
Palindromo,140,792,79524
Repetidos,140,1133,79524
Casi Idéntico,140,4,196
Transposicion,140,743,79524
Aleatorio,141,791,80656
Palindromo,141,781,80656
Repetidos,141,1176,80656
Casi Idéntico,141,2,196
Transposicion,141,1026,80656
Aleatorio,142,763,81796
Palindromo,142,813,81796
Repetidos,142,1195,81796
Casi Idéntico,142,4,196
Transposicion,142,754,81796
Aleatorio,143,828,82944
Palindromo,143,807,82944
Repetidos,143,1170,82944
Casi Idéntico,143,4,196
Transposicion,143,764,82944
Aleatorio,144,822,84100
Palindromo,144,996,84100
Repetidos,144,1330,84100
Casi Idéntico,144,4,196
Transposicion,144,770,84100
Aleatorio,145,831,85264
Palindromo,145,832,85264
Repetidos,145,1218,85264
Casi Idéntico,145,3,196
Transposicion,145,804,85264
Aleatorio,146,846,86436
Palindromo,146,850,86436
Repetidos,146,1360,86436
Casi Idéntico,146,7,196
Transposicion,146,848,86436
Aleatorio,147,838,87616
Palindromo,147,879,87616
Repetidos,147,1206,87616
Casi Idéntico,147,3,196
Transposicion,147,811,87616
Aleatorio,148,844,88804
Palindromo,148,861,88804
Repetidos,148,1362,88804
Casi Idéntico,148,8,196
Transposicion,148,932,88804
Aleatorio,149,919,90000
Palindromo,149,944,90000
Repetidos,149,1324,90000
Casi Idéntico,149,4,196
Transposicion,149,857,90000
Aleatorio,150,895,91204
Palindromo,150,1197,91204
Repetidos,150,1363,91204
Casi Idéntico,150,5,196
Transposicion,150,952,91204
Aleatorio,151,979,92416
Palindromo,151,959,92416
Repetidos,151,1459,92416
Casi Idéntico,151,3,196
Transposicion,151,829,92416
Aleatorio,152,888,93636
Palindromo,152,1186,93636
Repetidos,152,1299,93636
Casi Idéntico,152,3,196
Transposicion,152,933,93636
Aleatorio,153,905,94864
Palindromo,153,895,94864
Repetidos,153,1319,94864
Casi Idéntico,153,6,196
Transposicion,153,859,94864
Aleatorio,154,956,96100
Palindromo,154,1236,96100
Repetidos,154,1448,96100
Casi Idéntico,154,4,196
Transposicion,154,931,96100
Aleatorio,155,963,97344
Palindromo,155,944,97344
Repetidos,155,1427,97344
Casi Idéntico,155,4,196
Transposicion,155,920,97344
Aleatorio,156,1317,98596
Palindromo,156,1018,98596
Repetidos,156,1513,98596
Casi Idéntico,156,14,196
Transposicion,156,925,98596
Aleatorio,157,974,99856
Palindromo,157,976,99856
Repetidos,157,1398,99856
Casi Idéntico,157,6,196
Transposicion,157,1211,99856
Aleatorio,158,1043,101124
Palindromo,158,1022,101124
Repetidos,158,1506,101124
Casi Idéntico,158,7,196
Transposicion,158,1007,101124
Aleatorio,159,1064,102400
Palindromo,159,1068,102400
Repetidos,159,1867,102400
Casi Idéntico,159,4,196
Transposicion,159,965,102400
Aleatorio,160,995,103684
Palindromo,160,1016,103684
Repetidos,160,1530,103684
Casi Idéntico,160,5,196
Transposicion,160,975,103684
