Caso,Tamaño_m,Tamaño_n,TiempoFB (ns),Resultado FB,TiempoDP (ns),Resultado DP
Repetidos,8,7,2949100,15,8700,15
Repetidos,8,8,6976700,16,9500,16
Repetidos,8,9,15872100,17,14900,17
Repetidos,8,10,33569500,18,14300,18
Repetidos,8,11,64484200,19,18500,19
Repetidos,8,12,119188200,20,15300,20
Repetidos,9,0,100,9,4700,9
Repetidos,9,1,800,10,5000,10
Repetidos,9,2,4800,11,5700,11
Repetidos,9,3,28300,12,7400,12
Repetidos,9,4,137600,13,6500,13
Repetidos,9,5,513800,14,7000,14
Repetidos,9,6,2034600,15,8700,15
Repetidos,9,7,5447100,16,9200,16
Repetidos,9,8,14795100,17,13300,17
Repetidos,9,9,34131700,18,15000,18
Repetidos,9,10,68314100,19,15000,19
Repetidos,9,11,176335900,2,19000,2
Repetidos,9,12,262996000,21,15100,21
Repetidos,10,0,0,10,3800,10
Repetidos,10,1,600,11,2800,11
Repetidos,10,2,4600,12,3200,12
Repetidos,10,3,31200,13,3100,13
Repetidos,10,4,168000,14,3600,14
Repetidos,10,5,680400,15,4200,15
Repetidos,10,6,2513800,16,5200,16
Repetidos,10,7,8196000,17,5900,17
Repetidos,10,8,22662300,18,8600,18
Repetidos,10,9,62658300,19,12200,19
Repetidos,10,10,148214200,20,14500,20
Repetidos,10,11,384706500,21,20000,21
Repetidos,10,12,905856100,22,17400,22
Repetidos,11,0,100,11,5400,11
Repetidos,11,1,800,12,4500,12
Repetidos,11,2,6000,13,5500,13
Repetidos,11,3,45000,14,4200,14
Repetidos,11,4,290900,15,4700,15
Repetidos,11,5,1321000,16,5500,16
Repetidos,11,6,4523200,17,7700,17
Repetidos,11,7,15200200,18,7500,18
Repetidos,11,8,47773300,19,8900,19
Repetidos,11,9,136301900,20,14400,20
Repetidos,11,10,449617200,21,17400,21
Repetidos,11,11,956853600,22,17500,22
Repetidos,11,12,1918106100,23,15700,23
Repetidos,12,0,100,12,4500,12
Repetidos,12,1,700,13,3000,13
Repetidos,12,2,6100,14,3400,14
Repetidos,12,3,74100,15,4500,15
Repetidos,12,4,370800,16,4100,16
Repetidos,12,5,1679300,17,4500,17
Repetidos,12,6,7217800,18,5200,18
Repetidos,12,7,25828200,19,7500,19
Repetidos,12,8,86113600,20,7900,20
Repetidos,12,9,308234200,21,17200,21
Repetidos,12,10,889200800,22,17600,22
Repetidos,12,11,2241706800,23,13500,23
Repetidos,12,12,5272641200,24,16600,24
Casi Identico,0,0,100,0,1200,0
Casi Identico,0,1,100,1,800,1
Casi Identico,0,2,0,2,500,2
Casi Identico,0,3,100,3,1200,3
Casi Identico,0,4,0,4,800,4
Casi Identico,0,5,0,5,600,5
Casi Identico,0,6,0,6,700,6
Casi Identico,0,7,0,7,500,7
Casi Identico,0,8,100,8,600,8
Casi Identico,0,9,100,9,600,9
Casi Identico,0,10,0,10,600,10
Casi Identico,0,11,100,11,700,11
Casi Identico,0,12,100,12,700,12
Casi Identico,1,0,100,1,1200,1
Casi Identico,1,1,500,2,12300,2
Casi Identico,1,2,300,3,2200,3
Casi Identico,1,3,400,4,12200,4
Casi Identico,1,4,300,5,18400,5
Casi Identico,1,5,200,4,18400,4
Casi Identico,1,6,300,7,1500,7
Casi Identico,1,7,10900,8,1200,8
Casi Identico,1,8,300,9,1200,9
Casi Identico,1,9,11000,8,1400,8
Casi Identico,1,10,600,11,2000,11
Casi Identico,1,11,17400,12,1500,12
Casi Identico,1,12,600,11,2200,11
Casi Identico,2,0,100,2,1500,2
Casi Identico,2,1,300,3,1400,3
Casi Identico,2,2,500,4,1900,4
Casi Identico,2,3,26300,5,1900,5
Casi Identico,2,4,17100,6,1700,6
Casi Identico,2,5,1300,7,1700,7
Casi Identico,2,6,26800,8,1800,8
Casi Identico,2,7,2100,9,1600,9
Casi Identico,2,8,27500,10,1800,10
Casi Identico,2,9,11700,11,2600,11
Casi Identico,2,10,4400,12,2200,12
Casi Identico,2,11,4700,13,2100,13
Casi Identico,2,12,5900,12,2500,12
Casi Identico,3,0,100,3,1200,3
Casi Identico,3,1,600,4,12400,4
Casi Identico,3,2,700,5,1600,5
Casi Identico,3,3,17200,6,11200,6
Casi Identico,3,4,18800,7,1900,7
Casi Identico,3,5,4300,8,2900,8
Casi Identico,3,6,7000,5,2100,5
Casi Identico,3,7,26500,10,2400,10
Casi Identico,3,8,15100,11,2300,11
Casi Identico,3,9,22200,12,2600,12
Casi Identico,3,10,29600,11,2700,11
Casi Identico,3,11,49700,14,3300,14
Casi Identico,3,12,45600,13,2800,13
Casi Identico,4,0,0,4,1200,4
Casi Identico,4,1,500,5,18900,5
Casi Identico,4,2,1000,6,1700,6
Casi Identico,4,3,28000,7,2000,7
Casi Identico,4,4,6200,8,2100,8
Casi Identico,4,5,38400,5,9100,5
Casi Identico,4,6,46600,10,2700,10
Casi Identico,4,7,40600,11,2300,11
Casi Identico,4,8,72200,12,3300,12
Casi Identico,4,9,112500,13,3500,13
Casi Identico,4,10,152900,12,3100,12
Casi Identico,4,11,203400,11,3300,11
Casi Identico,4,12,293100,16,3200,16
Casi Identico,5,0,0,5,1400,5
Casi Identico,5,1,16600,6,3000,6
Casi Identico,5,2,1400,7,1900,7
Casi Identico,5,3,29900,6,2500,6
Casi Identico,5,4,23900,9,2300,9
Casi Identico,5,5,32300,8,2800,8
Casi Identico,5,6,91500,11,3200,11
Casi Identico,5,7,161900,12,3300,12
Casi Identico,5,8,265300,9,3600,9
Casi Identico,5,9,413900,10,4300,10
Casi Identico,5,10,764400,15,4200,15
Casi Identico,5,11,984500,16,4200,16
Casi Identico,5,12,1522700,15,4700,15
Casi Identico,6,0,100,6,1900,6
Casi Identico,6,1,400,5,1800,5
Casi Identico,6,2,10000,8,2200,8
Casi Identico,6,3,32000,7,2500,7
Casi Identico,6,4,29400,8,3500,8
Casi Identico,6,5,100400,7,3300,7
Casi Identico,6,6,190900,12,4700,12
Casi Identico,6,7,383700,9,4300,9
Casi Identico,6,8,656000,10,4800,10
Casi Identico,6,9,1352700,13,3600,13
Casi Identico,6,10,2188000,12,5000,12
Casi Identico,6,11,4050400,15,4700,15
Casi Identico,6,12,6784000,12,7300,12
Casi Identico,7,0,100,7,2600,7
Casi Identico,7,1,500,8,2000,8
Casi Identico,7,2,28600,9,3700,9
Casi Identico,7,3,36700,10,2700,10
Casi Identico,7,4,42900,11,3000,11
Casi Identico,7,5,124500,10,3200,10
Casi Identico,7,6,379300,11,4500,11
Casi Identico,7,7,925300,14,4900,14
Casi Identico,7,8,2015000,15,5100,15
Casi Identico,7,9,3951100,10,6200,10
Casi Identico,7,10,7630700,15,6800,15
Casi Identico,7,11,14087700,14,7300,14
